0.0000000000,1.0000000000
0.0008273864,0.9712141711
0.0024783360,0.9500243445
0.0045553865,0.9318566908
0.0069155504,0.9153495420
0.0094777530,0.8998657383
0.0121870194,0.8850523275
0.0150033104,0.8706992484
0.0178992988,0.8566686741
0.0208551029,0.8428799455
0.0238580506,0.8292852459
0.0269003885,0.8158641108
0.0299816546,0.8026023787
0.0331007141,0.7895196379
0.0362625062,0.7766353227
0.0394739523,0.7639842191
0.0427461442,0.7516076068
0.0460940039,0.7395574577
0.0495374020,0.7278978358
0.0531028455,0.7167087028
0.0568290426,0.7060853761
0.0607708160,0.6961578013
0.0650159059,0.6871029925
0.0697223267,0.6791882482
0.0752347003,0.6729052830
0.0827031990,0.6696570882
0.1852322328,0.6525011796
0.1881311369,0.6347936084
0.1909446235,0.6166186595
0.1936907690,0.5980374883
0.1963824017,0.5791203432
0.1990306905,0.5599313392
0.2016454020,0.5405317790
0.2042353212,0.5209812469
0.2068083539,0.5013402526
0.2093736117,0.4816571737
0.2119384201,0.4619939298
0.2145102207,0.4424142211
0.2170970532,0.4229826223
0.2197076714,0.4037670356
0.2223518197,0.3848407410
0.2250420372,0.3662752785
0.2277915288,0.3481632189
0.2306167473,0.3306101565
0.2335407818,0.3137304630
0.2365951973,0.2976656208
0.2398221935,0.2826166246
0.2432923965,0.2688425857
0.2471280698,0.2567573387
0.2516031591,0.2471152853
0.2576396009,0.2421630742
0.4112177991,0.2167982023
0.4131333210,0.1915838836
0.4150645251,0.1665603430
0.4170159161,0.1417744803
0.4189901389,0.1173054987
0.4209938910,0.0931933011
0.4230321783,0.0695139213
0.4251112389,0.0463467514
0.4272408385,0.0237567453
0.4294317218,0.0018335001
0.4316970844,-0.0193127470
0.4340535579,-0.0395427420
0.4365260428,-0.0586992794
0.4391503511,-0.0765703510
0.4419853018,-0.0928684716
0.4451321808,-0.1071195041
0.4488164900,-0.1184439728
0.4538043472,-0.1242170751
0.6199710316,-0.1513356091
0.6215680549,-0.1780629743
0.6231913415,-0.2043510544
0.6248430999,-0.2301177553
0.6265290754,-0.2553212475
0.6282568258,-0.2799220770
0.6300314830,-0.3038174277
0.6318635334,-0.3269420471
0.6337615829,-0.3491585404
0.6357414621,-0.3703525304
0.6378223214,-0.3903501276
0.6400357386,-0.4089541742
0.6424304542,-0.4258684868
0.6450927081,-0.4406183947
0.6482160898,-0.4523170656
0.6524577339,-0.4582623828
0.8247174276,-0.4861030177
0.8261290195,-0.5134258028
0.8275683060,-0.5401475790
0.8290391974,-0.5662105920
0.8305486000,-0.5915858614
0.8321005323,-0.6161658286
0.8337023831,-0.6398648423
0.8353646117,-0.6625933584
0.8370996591,-0.6842206919
0.8389258573,-0.7045941040
0.8408710415,-0.7235163065
0.8429772890,-0.7406822004
0.8453228882,-0.7556284060
0.8480789408,-0.7674469266
0.8518328654,-0.7733690123
